# Run 2016-05-30 02:56:36
# Parameters:
#	degap: False
#	translate: False
#	hydrophobicity_scale: Kyte-Doolittle
#	merge: False
#	aas: all
#	begin_aa: 1
#	pH: 7.2
#	out_fname: ../data/scer-proteome-aa-freqs.txt
#	sequence: None
#	exclude: False
#	end_aa: None
#	in_fname: c:/Dropbox (Drummond Lab)/bio/genomes/scer_orf_trans_all.fasta
#	query: None
orf	length	charge	pI	hydrophobicity	f.A	f.C	f.D	f.E	f.F	f.G	f.H	f.I	f.K	f.L	f.M	f.N	f.P	f.Q	f.R	f.S	f.T	f.V	f.W	f.Y	n.A	n.C	n.D	n.E	n.F	n.G	n.H	n.I	n.K	n.L	n.M	n.N	n.P	n.Q	n.R	n.S	n.T	n.V	n.W	n.Y
#YAL009W SPO7 SGDID:S000000007, Chr I from 135854-136633, Genome Release 64-1-1, Verified ORF, "Putative regulatory subunit of Nem1p-Spo7p phosphatase holoenzyme, regulates nuclear growth by controlling phospholipid biosynthesis, required for normal nuclear envelope morphology, premeiotic replication, and sporulation"
YAL009W	259	16.0902	10.4798	-0.3208	0.0618	0.0077	0.0463	0.0502	0.0656	0.0425	0.0193	0.0811	0.0656	0.0734	0.0116	0.0386	0.0270	0.0425	0.0927	0.0965	0.0541	0.0695	0.0232	0.0309	16	2	12	13	17	11	5	21	17	19	3	10	7	11	24	25	14	18	6	8
#YAL010C MDM10 SGDID:S000000008, Chr I from 135665-134184, Genome Release 64-1-1, reverse complement, Verified ORF, "Subunit of both the ERMES complex that links the ER to mitochondria, and of the mitochondrial sorting and assembly machinery (SAM complex) that functions in import and assembly of outer membrane beta-barrel proteins"
YAL010C	493	-0.6896	6.9835	-0.4738	0.0345	0.0101	0.0588	0.0426	0.0568	0.0345	0.0223	0.0487	0.0588	0.1197	0.0122	0.0771	0.0365	0.0365	0.0406	0.1339	0.0892	0.0304	0.0162	0.0406	17	5	29	21	28	17	11	24	29	59	6	38	18	18	20	66	44	15	8	20
#YAL011W SWC3 SGDID:S000000009, Chr I from 132199-134076, Genome Release 64-1-1, Verified ORF, "Protein of unknown function, component of the SWR1 complex, which exchanges histone variant H2AZ (Htz1p) for chromatin-bound histone H2A; required for formation of nuclear-associated array of smooth endoplasmic reticulum known as karmellae"
YAL011W	625	16.3646	9.6886	-1.1074	0.0592	0.0048	0.0640	0.1104	0.0224	0.0288	0.0144	0.0448	0.1360	0.0736	0.0304	0.0448	0.0464	0.0512	0.0640	0.0752	0.0496	0.0480	0.0096	0.0224	37	3	40	69	14	18	9	28	85	46	19	28	29	32	40	47	31	30	6	14
#YAL012W CYS3 SGDID:S000000010, Chr I from 130799-131983, Genome Release 64-1-1, Verified ORF, "Cystathionine gamma-lyase, catalyzes one of the two reactions involved in the transsulfuration pathway that yields cysteine from homocysteine with the intermediary formation of cystathionine"
YAL012W	394	-6.0898	6.1492	-0.1444	0.1041	0.0000	0.0533	0.0533	0.0355	0.0711	0.0355	0.0609	0.0558	0.1015	0.0076	0.0558	0.0431	0.0381	0.0330	0.0736	0.0711	0.0761	0.0051	0.0254	41	0	21	21	14	28	14	24	22	40	3	22	17	15	13	29	28	30	2	10
#YAL013W DEP1 SGDID:S000000011, Chr I from 129270-130487, Genome Release 64-1-1, Verified ORF, "Transcriptional modulator involved in regulation of structural phospholipid biosynthesis genes and metabolically unrelated genes, as well as maintenance of telomeres, mating efficiency, and sporulation"
YAL013W	405	-39.7866	4.4472	-0.9983	0.0617	0.0148	0.0815	0.1358	0.0173	0.0222	0.0247	0.0519	0.0691	0.0914	0.0222	0.0593	0.0444	0.0568	0.0494	0.0642	0.0543	0.0346	0.0049	0.0395	25	6	33	55	7	9	10	21	28	37	9	24	18	23	20	26	22	14	2	16
#YAL014C SYN8 SGDID:S000000012, Chr I from 129019-128252, Genome Release 64-1-1, reverse complement, Verified ORF, "Endosomal SNARE related to mammalian syntaxin 8"
YAL014C	255	-14.9675	4.5074	-0.5075	0.0235	0.0078	0.0902	0.0667	0.0196	0.0275	0.0157	0.0471	0.0510	0.1647	0.0157	0.0784	0.0431	0.0863	0.0471	0.0863	0.0392	0.0706	0.0000	0.0196	6	2	23	17	5	7	4	12	13	42	4	20	11	22	12	22	10	18	0	5
#YAL015C NTG1 SGDID:S000000013, Chr I from 128102-126903, Genome Release 64-1-1, reverse complement, Verified ORF, "DNA N-glycosylase and apurinic/apyrimidinic (AP) lyase involved in base excision repair; acts in both nucleus and mitochondrion; creates a double-strand break at mtDNA origins that stimulates replication in response to oxidative stress"
YAL015C	399	1.8852	7.9261	-0.3494	0.0376	0.0125	0.0526	0.0752	0.0150	0.0476	0.0125	0.0702	0.0902	0.1053	0.0301	0.0351	0.0576	0.0551	0.0426	0.0652	0.0602	0.0827	0.0251	0.0276	15	5	21	30	6	19	5	28	36	42	12	14	23	22	17	26	24	33	10	11
#YAL016C-A YAL016C-A SGDID:S000028728, Chr I from 125069-124755, Genome Release 64-1-1, reverse complement, Dubious ORF, "Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data"
YAL016C-A	104	-8.2022	3.7790	0.7952	0.0865	0.0096	0.0673	0.0481	0.0865	0.0192	0.0000	0.0577	0.0096	0.1250	0.0192	0.0385	0.0385	0.0192	0.0288	0.1442	0.0481	0.1442	0.0000	0.0096	9	1	7	5	9	2	0	6	1	13	2	4	4	2	3	15	5	15	0	1
#YAL016C-B YAL016C-B SGDID:S000028528, Chr I from 124492-124307, Genome Release 64-1-1, reverse complement, Dubious ORF, "Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data"
YAL016C-B	61	-0.0665	7.0555	0.0131	0.0164	0.0000	0.0164	0.0820	0.0820	0.0164	0.0164	0.1475	0.0656	0.0984	0.0164	0.0820	0.0328	0.0164	0.0328	0.0820	0.0492	0.0328	0.0000	0.1148	1	0	1	5	5	1	1	9	4	6	1	5	2	1	2	5	3	2	0	7
#YAL016W TPD3 SGDID:S000000014, Chr I from 124879-126786, Genome Release 64-1-1, Verified ORF, "Regulatory subunit A of the heterotrimeric protein phosphatase 2A (PP2A), which also contains regulatory subunit Cdc55p and either catalytic subunit Pph21p or Pph22p; required for cell morphogenesis and transcription by RNA polymerase III"
YAL016W	635	-34.3092	4.3993	0.0855	0.0835	0.0110	0.0835	0.0614	0.0425	0.0268	0.0063	0.0740	0.0551	0.1433	0.0142	0.0551	0.0331	0.0425	0.0362	0.0787	0.0457	0.0772	0.0110	0.0189	53	7	53	39	27	17	4	47	35	91	9	35	21	27	23	50	29	49	7	12
#YAL017W PSK1 SGDID:S000000015, Chr I from 120225-124295, Genome Release 64-1-1, Verified ORF, "One of two (see also PSK2) PAS domain containing S/T protein kinases; coordinately regulates protein synthesis and carbohydrate metabolism and storage in response to a unknown metabolite that reflects nutritional status"
YAL017W	1356	-37.3498	5.4074	-0.4715	0.0442	0.0088	0.0708	0.0715	0.0450	0.0442	0.0258	0.0656	0.0752	0.1047	0.0184	0.0627	0.0538	0.0288	0.0383	0.1084	0.0553	0.0487	0.0059	0.0236	60	12	96	97	61	60	35	89	102	142	25	85	73	39	52	147	75	66	8	32
#YAL018C YAL018C SGDID:S000000016, Chr I from 119541-118564, Genome Release 64-1-1, reverse complement, Uncharacterized ORF, "Putative protein of unknown function"
YAL018C	325	3.2933	8.8679	0.4409	0.0585	0.0031	0.0154	0.0400	0.1046	0.0646	0.0215	0.0831	0.0462	0.1231	0.0308	0.0585	0.0492	0.0369	0.0185	0.0677	0.0462	0.0646	0.0062	0.0615	19	1	5	13	34	21	7	27	15	40	10	19	16	12	6	22	15	21	2	20
#YAL019W FUN30 SGDID:S000000017, Chr I from 114919-118314, Genome Release 64-1-1, Verified ORF, "Conserved member of the Snf2p family with ATP-dependent chromatin remodeling activity; has a role in silencing; potential Cdc28p substrate; authentic, non-tagged protein is detected in purified mitochondria in high-throughput studies"
YAL019W	1131	-35.9495	5.1201	-0.7668	0.0584	0.0062	0.0920	0.0752	0.0345	0.0336	0.0195	0.0566	0.0902	0.0911	0.0195	0.0725	0.0442	0.0407	0.0442	0.0840	0.0557	0.0486	0.0053	0.0283	66	7	104	85	39	38	22	64	102	103	22	82	50	46	50	95	63	55	6	32
#YAL019W-A YAL019W-A SGDID:S000028729, Chr I from 114250-114819, Genome Release 64-1-1, Dubious ORF, "Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data"
YAL019W-A	189	12.4439	9.9664	0.1376	0.0635	0.0370	0.0106	0.0106	0.0370	0.0317	0.0794	0.1058	0.0212	0.0899	0.0159	0.0370	0.0952	0.0423	0.0635	0.0794	0.0476	0.0688	0.0212	0.0423	12	7	2	2	7	6	15	20	4	17	3	7	18	8	12	15	9	13	4	8
#YAL020C ATS1 SGDID:S000000018, Chr I from 114615-113614, Genome Release 64-1-1, reverse complement, Verified ORF, "Protein required, with Elongator complex, Kti11p, and Kti12p, for modification of wobble nucleosides in tRNA; has a potential role in regulatory interactions between microtubules and the cell cycle"
YAL020C	333	-4.1982	6.3490	-0.3249	0.0480	0.0360	0.0571	0.0420	0.0300	0.1291	0.0330	0.0300	0.0300	0.0661	0.0180	0.0450	0.0420	0.0661	0.0571	0.0541	0.0511	0.1111	0.0270	0.0270	16	12	19	14	10	43	11	10	10	22	6	15	14	22	19	18	17	37	9	9
#YAL021C CCR4 SGDID:S000000019, Chr I from 113359-110846, Genome Release 64-1-1, reverse complement, Verified ORF, "Component of the CCR4-NOT transcriptional complex, which is involved in regulation of gene expression; component of the major cytoplasmic deadenylase, which is involved in mRNA poly(A) tail shortening"
YAL021C	837	-6.8674	6.4682	-0.5600	0.0609	0.0108	0.0597	0.0418	0.0478	0.0526	0.0311	0.0406	0.0621	0.1099	0.0263	0.0884	0.0550	0.0729	0.0299	0.0657	0.0609	0.0406	0.0119	0.0311	51	9	50	35	40	44	26	34	52	92	22	74	46	61	25	55	51	34	10	26
#YAL022C FUN26 SGDID:S000000020, Chr I from 110430-108877, Genome Release 64-1-1, reverse complement, Verified ORF, "Vacuolar membrane transporter with broad nucleoside selectivity; may regulate balance of nicotinamide riboside (NmR) levels between cytosol and vacuole, contributing to salvage of NmR for use in cytosolic NAD+ synthesis"
YAL022C	517	-18.7420	4.8036	0.2627	0.0503	0.0077	0.0484	0.0619	0.0774	0.0561	0.0174	0.0851	0.0387	0.0986	0.0368	0.0445	0.0309	0.0232	0.0348	0.0928	0.0696	0.0812	0.0155	0.0290	26	4	25	32	40	29	9	44	20	51	19	23	16	12	18	48	36	42	8	15
#YAL023C PMT2 SGDID:S000000021, Chr I from 108551-106272, Genome Release 64-1-1, reverse complement, Verified ORF, "Protein O-mannosyltransferase, transfers mannose residues from dolichyl phosphate-D-mannose to protein Ser/Thr residues; involved in ER quality control; acts in a complex with Pmt1p, can instead interact with Pmt5; target for new antifungal"
YAL023C	759	1.6001	7.4959	-0.0524	0.0593	0.0145	0.0474	0.0395	0.0672	0.0659	0.0277	0.0514	0.0448	0.1041	0.0316	0.0487	0.0461	0.0290	0.0435	0.0883	0.0487	0.0619	0.0356	0.0448	45	11	36	30	51	50	21	39	34	79	24	37	35	22	33	67	37	47	27	34
#YAL024C LTE1 SGDID:S000000022, Chr I from 105872-101565, Genome Release 64-1-1, reverse complement, Verified ORF, "Protein similar to GDP/GTP exchange factors but without detectable GEF activity; required for asymmetric localization of Bfa1p at daughter-directed spindle pole bodies and for mitotic exit at low temperatures"
YAL024C	1435	-15.5061	6.1018	-0.6031	0.0383	0.0063	0.0634	0.0690	0.0334	0.0195	0.0209	0.0704	0.0739	0.0948	0.0188	0.0815	0.0418	0.0390	0.0467	0.1331	0.0613	0.0530	0.0084	0.0265	55	9	91	99	48	28	30	101	106	136	27	117	60	56	67	191	88	76	12	38
#YAL025C MAK16 SGDID:S000000023, Chr I from 101145-100225, Genome Release 64-1-1, reverse complement, Verified ORF, "Essential nuclear protein, constituent of 66S pre-ribosomal particles; required for maturation of 25S and 5.8S rRNAs; required for maintenance of M1 satellite double-stranded RNA of the L-A virus"
YAL025C	306	-15.0193	5.0322	-1.1850	0.0686	0.0196	0.0719	0.1471	0.0163	0.0359	0.0229	0.0327	0.1046	0.0588	0.0196	0.0458	0.0229	0.0458	0.0654	0.0752	0.0359	0.0588	0.0196	0.0327	21	6	22	45	5	11	7	10	32	18	6	14	7	14	20	23	11	18	6	10
#YAL026C DRS2 SGDID:S000000024, Chr I from 99697-95630, Genome Release 64-1-1, reverse complement, Verified ORF, "Aminophospholipid translocase (flippase) that maintains membrane lipid asymmetry in post-Golgi secretory vesicles; contributes to clathrin-coated vesicle formation and endocytosis; mutations in human homolog ATP8B1 result in liver disease"
YAL026C	1355	-37.0447	5.1996	-0.2117	0.0642	0.0096	0.0627	0.0657	0.0583	0.0561	0.0199	0.0804	0.0576	0.0930	0.0207	0.0605	0.0332	0.0347	0.0428	0.0716	0.0620	0.0554	0.0133	0.0384	87	13	85	89	79	76	27	109	78	126	28	82	45	47	58	97	84	75	18	52
#YAL026C-A YAL026C-A SGDID:S000028730, Chr I from 95823-95386, Genome Release 64-1-1, reverse complement, Dubious ORF, "Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data; partially overlaps the uncharacterized ORF YAL027W and the verified gene DRS2"
YAL026C-A	145	14.1542	10.5890	0.1076	0.0138	0.0069	0.0207	0.0483	0.0414	0.0207	0.0345	0.1379	0.0966	0.1172	0.0621	0.0414	0.0138	0.0345	0.0690	0.0483	0.0759	0.0621	0.0069	0.0483	2	1	3	7	6	3	5	20	14	17	9	6	2	5	10	7	11	9	1	7
#YAL027W SAW1 SGDID:S000000025, Chr I from 94687-95472, Genome Release 64-1-1, Verified ORF, "Protein involved in Rad1p/Rad10p-dependent removal of 3'-nonhomologous tails during double-strand break repair via single-strand annealing; green fluorescent protein (GFP)-fusion protein localizes to the nucleus"
YAL027W	261	8.3136	9.8158	-0.2552	0.0575	0.0077	0.0536	0.0536	0.0345	0.0230	0.0307	0.0996	0.0920	0.1149	0.0153	0.0651	0.0536	0.0460	0.0460	0.0651	0.0536	0.0613	0.0038	0.0230	15	2	14	14	9	6	8	26	24	30	4	17	14	12	12	17	14	16	1	6
#YAL028W FRT2 SGDID:S000000026, Chr I from 92900-94486, Genome Release 64-1-1, Verified ORF, "Tail-anchored ER membrane protein, interacts with homolog Frt1p; promotes growth in conditions of high Na+, alkaline pH, or cell wall stress, possibly via a role in posttranslational translocation; potential Cdc28p substrate"
YAL028W	528	8.3557	9.1365	-0.6875	0.0587	0.0076	0.0663	0.0530	0.0341	0.0341	0.0455	0.0398	0.0928	0.0871	0.0246	0.0436	0.0568	0.0398	0.0398	0.1610	0.0360	0.0530	0.0038	0.0227	31	4	35	28	18	18	24	21	49	46	13	23	30	21	21	85	19	28	2	12
#YAL029C MYO4 SGDID:S000000027, Chr I from 92270-87855, Genome Release 64-1-1, reverse complement, Verified ORF, "One of two type V myosin motors (along with MYO2) involved in actin-based transport of cargos; required for mRNA transport, including ASH1 mRNA, and facilitating the growth and movement of ER tubules into the growing bud along with She3p"
YAL029C	1471	1.7373	7.4407	-0.3281	0.0530	0.0102	0.0469	0.0782	0.0469	0.0428	0.0177	0.0816	0.0816	0.1081	0.0224	0.0666	0.0299	0.0462	0.0442	0.0707	0.0503	0.0530	0.0102	0.0394	78	15	69	115	69	63	26	120	120	159	33	98	44	68	65	104	74	78	15	58
#YAL030W SNC1 SGDID:S000000028, Chr I from 87286-87387,87501-87752, Genome Release 64-1-1, Verified ORF, "Vesicle membrane receptor protein (v-SNARE) involved in the fusion between Golgi-derived secretory vesicles with the plasma membrane; proposed to be involved in endocytosis; member of the synaptobrevin/VAMP family of R-type v-SNARE proteins"
YAL030W	117	0.9456	8.1277	-0.2197	0.0940	0.0085	0.0684	0.0684	0.0256	0.0342	0.0171	0.0855	0.0684	0.0769	0.0427	0.0427	0.0342	0.0342	0.0769	0.0769	0.0342	0.0855	0.0085	0.0171	11	1	8	8	3	4	2	10	8	9	5	5	4	4	9	9	4	10	1	2
#YAL031C GIP4 SGDID:S000000029, Chr I from 87031-84749, Genome Release 64-1-1, reverse complement, Verified ORF, "Cytoplasmic Glc7-interacting protein whose overexpression relocalizes Glc7p from the nucleus and prevents chromosome segregation; potential Cdc28p substrate"
YAL031C	760	40.4651	10.1758	-0.4559	0.0500	0.0132	0.0355	0.0539	0.0316	0.0197	0.0237	0.0671	0.0868	0.1145	0.0171	0.0658	0.0618	0.0368	0.0553	0.1224	0.0553	0.0461	0.0132	0.0303	38	10	27	41	24	15	18	51	66	87	13	50	47	28	42	93	42	35	10	23
#YAL031W-A YAL031W-A SGDID:S000028731, Chr I from 84669-84977, Genome Release 64-1-1, Dubious ORF, "Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data"
YAL031W-A	102	1.5687	7.9384	0.4598	0.0294	0.0490	0.0490	0.0294	0.0686	0.0490	0.0098	0.0980	0.0392	0.1275	0.0294	0.0490	0.0588	0.0000	0.0588	0.1471	0.0000	0.0686	0.0000	0.0392	3	5	5	3	7	5	1	10	4	13	3	5	6	0	6	15	0	7	0	4
#YAL032C PRP45 SGDID:S000000030, Chr I from 84474-83335, Genome Release 64-1-1, reverse complement, Verified ORF, "Protein required for pre-mRNA splicing; associates with the spliceosome and interacts with splicing factors Prp22p and Prp46p; orthologous to human transcriptional coactivator SKIP and can activate transcription of a reporter gene"
YAL032C	379	7.4014	9.5912	-0.8261	0.0923	0.0026	0.0580	0.0765	0.0237	0.0422	0.0211	0.0396	0.0897	0.0765	0.0185	0.0712	0.0528	0.0501	0.0633	0.0818	0.0449	0.0633	0.0053	0.0264	35	1	22	29	9	16	8	15	34	29	7	27	20	19	24	31	17	24	2	10
#YAL033W POP5 SGDID:S000000031, Chr I from 82706-83227, Genome Release 64-1-1, Verified ORF, "Subunit of both RNase MRP and nuclear RNase P; RNase MRP cleaves pre-rRNA, while nuclear RNase P cleaves tRNA precursors to generate mature 5' ends and facilitates turnover of nuclear RNAs"
YAL033W	173	0.8737	7.6734	-0.2428	0.0347	0.0231	0.0751	0.0578	0.0347	0.0405	0.0231	0.1156	0.0809	0.0983	0.0289	0.0694	0.0231	0.0231	0.0578	0.1156	0.0289	0.0520	0.0000	0.0173	6	4	13	10	6	7	4	20	14	17	5	12	4	4	10	20	5	9	0	3
#YAL034C FUN19 SGDID:S000002134, Chr I from 81951-80710, Genome Release 64-1-1, reverse complement, Verified ORF, "Non-essential protein of unknown function; expression induced in response to heat stress"
YAL034C	413	27.1450	10.2801	-0.8354	0.0508	0.0073	0.0484	0.0315	0.0291	0.0387	0.0169	0.0412	0.0775	0.0969	0.0194	0.0969	0.0823	0.0363	0.0678	0.1235	0.0363	0.0339	0.0121	0.0533	21	3	20	13	12	16	7	17	32	40	8	40	34	15	28	51	15	14	5	22
#YAL034C-B YAL034C-B SGDID:S000002137, Chr I from 79842-79489, Genome Release 64-1-1, reverse complement, Dubious ORF, "Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data"
YAL034C-B	117	5.9360	9.9349	0.3624	0.0513	0.0171	0.0171	0.0427	0.0513	0.0427	0.0256	0.1197	0.0769	0.1026	0.0513	0.0256	0.0342	0.0598	0.0342	0.0855	0.0513	0.0769	0.0000	0.0342	6	2	2	5	6	5	3	14	9	12	6	3	4	7	4	10	6	9	0	4
#YAL034W-A MTW1 SGDID:S000000032, Chr I from 79718-80587, Genome Release 64-1-1, Verified ORF, "Essential component of the MIND kinetochore complex (Mtw1p Including Nnf1p-Nsl1p-Dsn1p) which joins kinetochore subunits contacting DNA to those contacting microtubules; critical to kinetochore assembly"
YAL034W-A	289	-8.1812	4.9832	-0.5291	0.0381	0.0069	0.0865	0.1038	0.0208	0.0311	0.0035	0.0588	0.1107	0.1488	0.0208	0.0554	0.0242	0.0311	0.0519	0.0623	0.0519	0.0657	0.0000	0.0277	11	2	25	30	6	9	1	17	32	43	6	16	7	9	15	18	15	19	0	8
#YAL035W FUN12 SGDID:S000000033, Chr I from 76427-79435, Genome Release 64-1-1, Verified ORF, "GTPase, required for general translation initiation by promoting Met-tRNAiMet binding to ribosomes and ribosomal subunit joining; homolog of bacterial IF2"
YAL035W	1002	-17.6482	5.5160	-0.7409	0.0838	0.0070	0.0609	0.1228	0.0200	0.0539	0.0120	0.0479	0.1218	0.0918	0.0170	0.0329	0.0359	0.0499	0.0439	0.0629	0.0469	0.0649	0.0060	0.0180	84	7	61	123	20	54	12	48	122	92	17	33	36	50	44	63	47	65	6	18
#YAL036C RBG1 SGDID:S000000034, Chr I from 76152-75043, Genome Release 64-1-1, reverse complement, Verified ORF, "Member of the DRG family of GTP-binding proteins; associates with translating ribosomes; interacts with Tma46p, Ygr250cp, Gir2p and Yap1p via two-hybrid"
YAL036C	369	3.1023	8.3320	-0.1317	0.0623	0.0108	0.0650	0.0596	0.0271	0.0759	0.0190	0.0840	0.0786	0.1057	0.0163	0.0352	0.0379	0.0298	0.0542	0.0705	0.0569	0.0813	0.0054	0.0244	23	4	24	22	10	28	7	31	29	39	6	13	14	11	20	26	21	30	2	9
#YAL037C-A YAL037C-A SGDID:S000028732, Chr I from 73518-73426, Genome Release 64-1-1, reverse complement, Uncharacterized ORF, "Putative protein of unknown function"
YAL037C-A	30	1.9363	10.3717	0.5400	0.0000	0.0000	0.0333	0.0000	0.0667	0.0333	0.0333	0.1667	0.1000	0.1000	0.1000	0.1000	0.0333	0.0333	0.0000	0.0667	0.0667	0.0667	0.0000	0.0000	0	0	1	0	2	1	1	5	3	3	3	3	1	1	0	2	2	2	0	0
#YAL037C-B YAL037C-B SGDID:S000028592, Chr I from 73300-72326, Genome Release 64-1-1, reverse complement, Dubious ORF, "Dubious open reading frame unlikely to encode a protein; identified by gene-trapping, microarray-based expression analysis, and genome-wide homology searching"
YAL037C-B	324	-36.5901	3.6999	-0.2219	0.0031	0.0000	0.1019	0.0370	0.0679	0.1049	0.0216	0.0309	0.0000	0.0988	0.0031	0.0679	0.0031	0.0617	0.0247	0.1358	0.0833	0.1049	0.0494	0.0000	1	0	33	12	22	34	7	10	0	32	1	22	1	20	8	44	27	34	16	0
#YAL037W YAL037W SGDID:S000000035, Chr I from 74020-74823, Genome Release 64-1-1, Uncharacterized ORF, "Putative protein of unknown function"
YAL037W	267	1.6436	7.9216	-0.1228	0.0412	0.0187	0.0524	0.0412	0.0524	0.0337	0.0075	0.0824	0.0637	0.1161	0.0262	0.0637	0.0300	0.0674	0.0375	0.0899	0.0787	0.0524	0.0037	0.0412	11	5	14	11	14	9	2	22	17	31	7	17	8	18	10	24	21	14	1	11
